Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
May 31 2018,Kitsap,WA,Passenger,781,453,1234,177869,179103,0.69
March 31 2019,Thurston,WA,Passenger,801,597,1398,196059,197457,0.71
April 30 2018,Grays Harbor,WA,Truck,0,0,0,20124,20124,0
June 30 2023,Pend Oreille,WA,Truck,0,0,0,5610,5610,0
February 28 2022,Suffolk,VA,Passenger,1,0,1,124,125,0.8
December 31 2023,Bell,TX,Passenger,2,0,2,231,233,0.86
July 31 2023,Adams,WA,Truck,3,0,3,5346,5349,0.06
January 31 2021,Ventura,CA,Passenger,1,2,3,291,294,1.02
January 31 2017,Hamilton,TN,Passenger,1,0,1,30,31,3.23
January 31 2021,Island,WA,Passenger,527,293,820,62846,63666,1.29
January 31 2018,Stevens,WA,Truck,0,0,0,18385,18385,0
December 31 2022,Okaloosa,FL,Passenger,0,1,1,101,102,0.98
January 31 2020,Columbia,OR,Passenger,1,0,1,28,29,3.45
July 31 2020,Nassau,FL,Passenger,1,0,1,37,38,2.63
June 30 2024,Clark,WA,Truck,195,0,195,79402,79597,0.24
October 31 2020,Norfolk,VA,Passenger,2,3,5,344,349,1.43
October 31 2023,Hennepin,MN,Passenger,1,0,1,35,36,2.78
July 31 2021,Bartow,GA,Passenger,0,1,1,4,5,20
February 28 2023,Adams,WA,Passenger,21,11,32,12997,13029,0.25
June 30 2020,Douglas,NE,Passenger,0,1,1,57,58,1.72
November 30 2023,Cowlitz,WA,Truck,13,0,13,28010,28023,0.05
November 30 2017,Garfield,WA,Passenger,1,0,1,1313,1314,0.08
February 29 2024,Charleston,SC,Passenger,1,2,3,41,44,6.82
July 31 2020,Bartow,GA,Passenger,0,1,1,5,6,16.67
April 30 2024,Cache,UT,Passenger,1,0,1,7,8,12.5
November 30 2023,King,WA,Passenger,67903,16412,84315,1317059,1401374,6.02
